Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange
9/24/80,129.429993,131.339996,128.449997,130.369995,130.369995,56860000,0.726262884,-11.69436248
9/25/80,130.369995,131.529999,128.130005,128.720001,128.720001,49510000,-1.265624042,-12.92648611
9/26/80,128.169998,128.169998,125.290001,126.349998,126.349998,49460000,-1.841208034,-0.100989699
9/29/80,125.410004,125.410004,122.870003,123.540001,123.540001,46410000,-2.223978666,-6.166599272
9/30/80,123.540001,126.089996,123.540001,125.459999,125.459999,40290000,1.55415087,-13.18681319
10/1/80,125.459999,127.879997,124.660004,127.129997,127.129997,48720000,1.331099963,20.92330603
10/2/80,127.129997,128.820007,126.040001,128.089996,128.089996,46160000,0.755131773,-5.254515599
10/3/80,128.089996,130.440002,127.650002,129.330002,129.330002,47510000,0.968074041,2.924610052
10/6/80,129.350006,132.380005,129.350006,131.729996,131.729996,50130000,1.855713263,5.514628499
10/7/80,131.729996,132.880005,130.100006,131,131,50310000,-0.5541608,0.359066427
10/8/80,131,132.779999,130.279999,131.649994,131.649994,46580000,0.496178626,-7.414032995
10/9/80,131.649994,132.649994,130.25,131.039993,131.039993,43980000,-0.463350572,-5.581794762
10/10/80,131.039993,132.149994,129.580002,130.289993,130.289993,44040000,-0.572344353,0.136425648
10/13/80,130.289993,132.460007,129.369995,132.029999,132.029999,31360000,1.335487062,-28.79200727
10/14/80,132.029999,133.570007,131.160004,132.020004,132.020004,48830000,-0.007570249,55.70790816
10/15/80,132.020004,134.350006,131.589996,133.699997,133.699997,48260000,1.272529124,-1.167315175
10/16/80,133.699997,135.880005,131.639999,132.220001,132.220001,65450000,-1.106952904,35.61956071
10/17/80,132.220001,133.070007,130.220001,131.520004,131.520004,43920000,-0.52941839,-32.89533995
10/20/80,131.520004,133.210007,130.039993,132.610001,132.610001,40910000,0.828768983,-6.853369763
10/21/80,132.610001,134.009995,130.779999,131.839996,131.839996,51220000,-0.580653792,25.20166219
10/22/80,131.839996,132.970001,130.619995,131.919998,131.919998,43060000,0.06068113,-15.93127684
